cluster_id,sample_tags,rating,failure_reason
40,Internal Linking | Backlink Analysis | External Linking | File Linking | Internal Link Automation | Internal Link Building | Internal Link Generation | Internal Link Optimization | Internal Linking Optimization | URL Slug Standardization | Website Linking,Good,
50,Voice Cloning | Accent Conversion | Audio Format Conversion | Brand Voice Capture | Real-Time Voice Streaming | Share of Voice Measurement | Share Of Voice Tracking | Vocal Extraction | Voice Clone Detection | Voice Conversion | Voice Dubbing | Voice-to-Voice Conversion,Good,
55,Ad Format Curation | Ad Monetization | Ad Scriptwriting | Ad Template Browsing | Advertising Analysis | Google Ads Automation | Job Advertising Management | Sales Script Recommendations,Bad,"The tags span ad creation, monetization, analysis, automation, job advertising, and sales scripting rather than one core capability."
56,Competitor Analysis | Competitor Comparison | Competitor Monitoring | Side-by-Side Comparison | Commission Rate Analysis | Competitive Intelligence | Competitor Ad Analysis | Competitor Benchmarking | Competitor Content Monitoring | Competitor Creative Analysis | Competitor Insights | Competitor Intelligence | Competitor Sales Tracking | Competitor Visibility Benchmarking | Market Analysis | Marketplace Ranking Analysis | Stakeholder Profiling | Strategic Analysis | Unit Economics Analysis,Mixed,"Most tags concern competitor intelligence and monitoring, while several cover unrelated financial, market, stakeholder, or general strategic analysis."
57,Video Generation | Text-to-Video Generation | Image-to-Video Generation | Video Idea Generation | Script-to-Video Generation | Short Video Generation | Video Script Generation | Animated Video Generation | Idea-to-Video Generation | Image and Video Generation | Link-to-Video Generation | Marketing Video Generation | Multi-Format Video Generation | Multimedia Generation | Music Video Generation | News-to-Video Generation | Offer-to-Video Generation | PDP Video Creation | Podcast Video Creation | Product Video Generation | Reference-to-Video Generation | SMS-to-Video Generation | Template-Based Video Generation | URL-to-Video Generation | Video Style Generation | Video Variation Generation,Good,
59,Authentication Setup | Password Protection | Authentication | Authentication Management | Cookie Preference Management | Credential Management | End-to-End Encryption | Identity Preservation | Secure Data Handling | User Authentication | VPN User Identification,Good,
62,Audio Generation | Music Generation | Sound Effect Generation | AI Sound Effects | Audio Lesson Creation | Audio Processing | Background Soundscape Generation | Focus Music Generation | MIDI Generation | Podcast Creation | Sleep Soundscapes | Sound Effects Generation | Sound Generation | Synchronized Audio Generation | WAV Download,Good,
70,Product Description Generation | AI Business Summarization | Business Description Generation | Business Jargon Simplification | Business Name Generation | Business Plan Generation | Job Description Generation | Meta Description Optimization | Terminology Management | Title and Description Generation,Mixed,"Only half of the tags concern description generation or optimization, while the rest cover summarization, simplification, naming, planning, and terminology management."
71,Image Enhancement | Video Enhancement | Photo Enhancement | Video Denoising | Contrast Enhancement | Image Quality Analysis | Product Image Enhancement | Product Photo Enhancement | Resolution Enhancement | Video Quality Enhancement,Good,
86,A/B Testing | Automated Test Execution | Automated Testing | A/B Test Recommendations | Online Mock Tests | Personality Testing | Self-Healing Tests | Test Debugging | Test Scheduling | Test-Taking Strategies | Tool Testing,Mixed,"The cluster mixes software test automation with A/B experimentation, educational assessments, personality testing, and test-taking guidance."
87,Web Search | Web Research | Search Console Integration | Bulk Search | Candidate Data Search | Case Law Search | Chord Finding | Community Search | Cross-Meeting Search | Deep Web Research | Document Search | Google Research | Google Search Console Integration | Literature Search | Meeting Search | Natural Language Site Queries | News Search | Raw Search Results | Research Retrieval | RFQ and RFI Search | Search History | Search Term Generation | Semantic Search | Source Retrieval | Web and File Search | Web Browsing,Good,
107,Conversation Analytics | Conversation Monitoring | Contextual Conversation Memory | Conversation Assignment | Conversation Guardrails | Conversation History | Conversation Import | Conversation Insights | Conversation Practice | Conversation Routing | Conversation Search | Conversation Sharing | Conversation Summarization | Conversation Testing | Conversation Translation | Conversational Answering | Conversational Practice | Conversational Responses | Natural Language Insights | Reddit Conversation Discovery | Roleplay Conversations | Social Listening,Bad,"The tags span conversation analysis, workflow management, content transformation, conversational interaction, and social listening rather than one core capability."
108,Social Media Publishing | App Publishing | Automatic Publishing | Content Publishing | WordPress Publishing | API Publishing | App Store Publishing | Automated Publishing | Bulk Publishing | CMS Publishing | Direct Social Publishing | Domain Publishing | Form Publishing | Post Publishing | Website Publishing,Mixed,"Most tags concern content or web publishing, but app, API, app-store, and domain publishing represent distinct functional scenarios."
114,Voice Changing | Voice Input | Voice Messaging | Text-to-Voice | Voice Calling | Voice Control | Voice Conversation | Voice Conversations | Voice Isolation | Voice Narration | Voice Prompting | Voice Rehearsal | Voice Typing | Voice-to-Text Responses,Mixed,"The cluster mixes voice-based interaction and communication with audio transformation, isolation, narration, and rehearsal capabilities."
129,Silence Removal | Filler Word Removal | Stem Separation | Bad Take Removal | Echo Removal | Instrument Separation | Reverb Reduction | Stem Splitting | Vocal Removal | Vocal Separation,Good,
139,API Integration | API Access | REST API | API Connection | API Data Collection | API Endpoint Deployment | API Key Management | API Model Access | Conversion API Integration | Custom API Key Integration | Production API Access | Unified API Access,Good,
143,Workflow Automation | Workflow Integrations | Workflow Customization | Workflow Management | AI Workflow Automation | Automated Workflows | Code-Based Workflow Building | Workflow Builder | Workflow Configuration | Workflow Execution | Workflow Generation | Workflow Logging | Workflow Mapping | Workflow Monitoring | Workflow Optimization | Workflow Recipe Management | Workflow Scheduling,Good,
150,Writing Improvement | Character Consistency | Readability Improvement | Writing Enhancement | Character Insertion | Letter Template Selection | Standards Alignment | Typography Design | Typography Refinement | Typography Selection | Writing Style Adaptation | Writing Style Adjustment | Writing Style Learning,Mixed,"Most tags concern writing and text refinement, but the typography design tags represent a distinct visual formatting capability."
151,AI Image Editing | AI Photo Editing | AI Portrait Generation | Portrait Editing | AI Editing | AI Inpainting | AI Portrait Editing | Body Pose Editing | Facial Expression Editing | Mask Editing,Good,
154,Model Comparison | Model Selection | Multi-Model Generation | Automatic Model Selection | Human Model Integration | Model Attribution | Model Evaluation | Model Fine-Tuning | Model Integration | Model Management | Model Switching | Model Training | Multi-Model Access | Multi-Model Reasoning | Multi-Model Selection | Multimodal Model Access,Mixed,"Most tags concern AI model selection and orchestration, but several describe distinct capabilities such as training, fine-tuning, evaluation, attribution, and human model integration."
163,Color Palette Generation | Color Palette Selection | Color Scheme Selection,Good,
166,Image Generation | AI Image Generation | Text-to-Image Generation | Image-to-Image Generation | Thumbnail Generation | Visual Generation | Mind Map Generation | AI Photo Generation | Bulk Image Generation | Figure Generation | Graphic Generation | Multimodal Content Generation | Multimodal Creation | Multimodal Generation | MultiShot Scene Generation | Photorealistic Image Generation | Pose-to-Image Generation | Product Image Generation | Reference-Based Image Generation | Sketch-to-Image Generation | Text-Based Image Creation | Texture Generation | Thumbnail Creation | Thumbnail Variation Generation | Visual Effects Generation,Good,
173,Team Collaboration | Real-Time Collaboration | Content Collaboration | Slack Collaboration | Workspace Collaboration,Good,
178,Model Routing | Call Routing | Adaptive Model Routing | Intelligent Model Routing | Intelligent Request Routing | Multi-Model AI Routing,Good,
179,Screen Recording | Keyboard Shortcut Capture | Screen and Camera Recording | Screen and Webcam Recording | Screenshot Annotation | Screenshot Capture | Screenshot-to-Mockup Conversion,Good,
183,Multi-Agent Orchestration | Parallel Agent Execution | Parallel Agent Sessions | Parallel Agent Workflows | Parallel Generation | Parallel Generations,Mixed,"The agent orchestration and execution tags form one capability, while parallel generation describes concurrent content generation rather than agent management."
188,Logo Generation | AI Logo Generation | Animated Logo Creation | Logo Design | Logo Integration | Logo Updates,Good,
189,Template Customization | Content Customization | Website Customization | Anime Style Customization | Career Page Customization | Character Customization | Checkout Customization | Custom Modes | Design Customization | Guide Customization | Language Customization | Length Customization | Location Customization | Markup Customization | Organization Customization | Portal Customization | Style Customization | Thumbnail Customization | Timeline Customization,Mixed,"The tags span interface and design customization, content settings, localization, formatting, and organizational configuration rather than one consistent capability."
194,Data Storage | Meaning Preservation | Cloud Document Storage | Cloud File Management | Document Collection | Document Storage | File Storage Integration | Local Data Storage | Persistent File Storage | Smart Folders,Good,
195,AI Website Generation | AI Content Generation | AI Music Generation | AI App Generation | AI Script Generation | AI Art Generation | AI Visual Generation | AI Answer Generation | AI Application Generation | AI Book Generation | AI Chapter Generation | AI Character Generation | AI Diagram Generation | AI Graphics Generation | AI Post Generation | AI Presentation Generation | AI Prompt Generation | AI Soundtrack Generation | AI Store Generation | AI Story Generation | AI Text Generation | Learning Objective Generation,Bad,"The tags span distinct capabilities such as website and app creation, text generation, visual generation, and music generation."
206,Platform Integrations | Cross-Platform Comparison | Cross-Platform Integration | Cross-Platform Repurposing | Educational Platform Integration | Multi-Platform Scheduling | Multi-platform Scheduling | OpenAI Compatibility | Platform Data Access | Platform Format Optimization | Platform Optimization,Bad,"The tags span platform integration, comparison, content repurposing, scheduling, data access, and optimization rather than one dominant capability."
207,Booking Management | Accommodation Recommendations | Appointment Booking | Calendar Booking | Visit Booking,Good,
214,Database Management | Backend Setup | Custom Database Lookup | Database Connection | Database Creation | Database Generation | Database Querying | Database Setup | E-commerce Setup,Mixed,"Seven of nine tags concern database operations, while backend setup and e-commerce setup represent distinct capabilities."
228,Test Generation | Diff Generation | Test Case Generation | Test Code Generation | Test Scenario Generation | Unit Test Generation,Good,
229,Layout Generation | Layout Design | Layout Editing | Auto Layout | Camera Layouts | Layout Suggestions | Multi-Screen Design | Page Addition | Poster Design | Room Redesign,Mixed,"Most tags concern layout creation or editing, but page addition, poster design, and room redesign represent distinct capabilities."
233,Itinerary Management | Niche Exploration | Niche Research | Personalized Itinerary Generation | Topical Map Generation | User Journey Mapping,Bad,"The tags split across itinerary planning, niche research, topical mapping, and user journey mapping without a single dominant capability."
236,Photo Retouching | Portrait Retouching | Skin Retouching,Good,
240,Structured Data Extraction | Data Enrichment | Data Extraction | Automated Data Extraction | Business Data Extraction | Candidate Data Enrichment | Data Cleaning | Data Parsing | Instrument Extraction | Scheduled Extraction | Web Data Extraction,Good,
246,Formula Generation | Business Logic Generation | Calculator Building | Conditional Branching | Conditional Logic | Custom Logic Generation | Distributed Inference | Estimate Generation | Formula Writing | Hook Generation | Insight Generation | Logic Generation | Policy Generation | Policy Inference | SQL Query Generation,Mixed,"Most tags concern generating or configuring formulas and logic, while others involve inference, insights, policies, hooks, or SQL queries."
247,Pitch and Intonation Control | Pitch Control | Pitch Deck Creation | Pronunciation Control,Mixed,"Three tags concern voice or speech control, while pitch deck creation is a separate presentation-design capability."
